#{"t_start": 1748433463.6199374, "env_id": "None"}
r,l,t
-1190.210394,24,3.906255
-1190.98303,24,5.684477
-1190.175228,24,7.45684
-1190.760467,24,9.364973
-1191.420779,24,11.706849
-1189.651152,24,13.501722
-1190.115582,24,14.993594
-1190.539991,24,16.444408
-1191.267624,24,18.20242
-1189.569805,24,19.992584
-1191.348086,24,21.668415
-1190.087279,24,23.117438
-1189.78819,24,24.564569
-1190.454561,24,25.946806
-1190.909861,24,27.326795
-1189.768458,24,28.697363
-1190.354395,24,30.038338
-1190.237736,24,31.62091
-1192.025622,24,33.033885
-1189.671948,24,34.356644
-1189.959972,24,35.741985
-1189.786102,24,37.106174
-1190.482026,24,38.47668
-1189.905101,24,39.867111
-1190.092763,24,41.604733
-1189.716217,24,42.969734
-1191.393909,24,44.401903
-1189.972729,24,46.430992
-1189.876013,24,49.612783
-1191.818801,24,51.402371
-1191.18598,24,52.771138
-1190.403959,24,54.211646
-1190.315531,24,55.665375
-1189.588705,24,57.033989
-1189.683165,24,58.461195
-1189.489732,24,59.852445
-1190.267438,24,61.262187
-1190.624415,24,62.69612
-1190.919657,24,64.249796
-1190.772366,24,65.605697
-1190.078579,24,66.990465
-1189.009639,24,69.219974
-1189.009639,24,70.581495
-1189.009639,24,71.97329
-1189.009639,24,73.343745
-1189.009639,24,74.671831
-1189.392816,24,76.066247
-1192.230324,24,77.446084
-1190.175609,24,78.916688
-1189.578523,24,80.280355
-1189.747011,24,81.599029
-1191.311501,24,82.956916
-1190.65266,24,84.32197
-1189.669101,24,85.674828
-1190.168735,24,87.034607
-1189.668075,24,88.358858
-1189.895296,24,89.723798
-1189.521452,24,91.168977
-1190.152649,24,92.53608
-1189.714619,24,93.919572
-1189.843094,24,95.277425
-1190.258539,24,96.627529
-1190.056536,24,97.977254
-1190.228887,24,99.294379
-1189.88647,24,100.639537
-1189.71763,24,101.99134
-1189.711915,24,103.333513
-1189.52492,24,104.737177
-1189.728278,24,106.074584
-1190.189325,24,107.528977
-1189.411968,24,108.867714
-1189.794144,24,110.19647
-1190.187896,24,111.635994
